Agency Code,Product Number,Recommendation Target Agency/Organization,Engagement Code,Recommendation Text,Status Comments
012,GAO-12-791,Department of Labor,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of Labor has yet to fully implement this recommendation. The department's draft Enterprise Roadmap, dated May 15, 2013, includes architecture-related metrics, such as cost savings/avoidance gained by consolidating and sharing services. However, as of August 2013, the department has yet to finalize its metrics or document a method (i.e., steps to be followed) for measuring."
012,GAO-12-791,Department of Labor,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Department of Labor has yet to implement this recommendation. As of August 2013, it had yet to finalize its metrics or establish a method for measuring them. "
014,GAO-12-791,Department of State,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of State has yet to implement this recommendation. However, the department stated that it plans to incorporate the Office of Management and Budget's (OMB) Enterprise Architecture Outcomes and Measurements template as part of its February 2014 Enterprise Roadmap submission to OMB. The OMB template includes sample metrics such as cost savings/avoidance through system consolidation and cost savings/avoidance gained from sharing services."
014,GAO-12-791,Department of State,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Department of State has yet to implement this recommendation. More specifically, as of November 2013, the department has yet to establish metrics to measure architecture outcomes. The department stated that it plans to follow Office of Management and Budget (OMB) guidance and use OMB's Enterprise Architecture Outcomes and Measurements template for providing evidence of architecture outcomes and submit the template with its Enterprise Roadmap to OMB in early February 2014."
021,GAO-12-791,Department of Transportation,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of Transportation has begun to take steps to address our recommendation. For example, the department provided its April 2013 Enterprise Architecture Value Measurement Plan, which describes enterprise architecture metrics such as how the architecture program contributes to cost savings or avoidance. However, the plan does not describe a method for measuring enterprise architecture outcomes. The department's draft Enterprise Roadmap stated that the department plans to measure and report enterprise architecture performance by the end of fiscal year 2014. "
021,GAO-12-791,Department of Transportation,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.",The Department of Transportation has yet to implement this recommendation. The department's May 2013 draft Enterprise Roadmap stated that the department plans to measure and report enterprise architecture performance by the end of fiscal year 2014.
029,GAO-12-791,Department of Veterans Affairs,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.",The Department of Veterans Affairs has not implemented this recommendation. The department reported in June 2013 that it is focused on building out its core enterprise architecture and working with department stakeholders to help them understand and use the architecture. The department intends to implement the first phase of an enterprise architecture value measurement program during fiscal year 2014. 
029,GAO-12-791,Department of Veterans Affairs,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.",The Department of Veterans Affairs has not implemented this recommendation. The department reported in 2013 that it is focused on building out its core enterprise architecture and working with department stakeholders to help them understand and use the architecture. The department intends to implement the first phase of an enterprise architecture value measurement program during fiscal year 2014. 
010,GAO-12-791,Department of the Interior,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of the Interior has taken steps to address our recommendation. In May 2013, the department submitted its draft Enterprise Roadmap to the Office of Management and Budget, which included metrics to measure outcomes associated with the department's enterprise architecture, such as cost savings and avoidance related to commodity information technology consolidation. The draft roadmap also identifies sources of data for measuring the outcomes; however, the department has yet to describe the steps to be followed for measuring the outcomes."
010,GAO-12-791,Department of the Interior,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Department of the Interior has yet to implement this recommendation. In May 2013, the department submitted its draft enterprise roadmap to the Office of Management and Budget, which included examples of outcomes associated with its efforts, such as cost savings and avoidance related to commodity information technology consolidation. According to its draft Enterprise Roadmap, the first official measurements are to be for the first quarter of fiscal year 2014 and are to be reported in the second quarter of fiscal year 2014."
015,GAO-12-791,Department of the Treasury,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Department of the Treasury has yet to fully implement our recommendation. We reported in September 2012 that the department had established enterprise architecture metrics, but that it had yet to establish a methodology for measuring its architecture outcomes. In May 2013, the department submitted its draft Enterprise Roadmap to the Office of Management and Budget, which included new metrics associated with the department's enterprise architecture (e.g., cost savings/avoidance through consolidating systems and through sharing services). However, the department had not yet documented a method for measuring the metrics. Department officials stated that the department plans to finalize its approach in its next Enterprise Roadmap, which the Office of Management and Budget has asked agencies to submit no later than 2 weeks after the transmittal of the President's Budget for Fiscal Year 2015. "
015,GAO-12-791,Department of the Treasury,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Department of the Treasury has yet to implement this recommendation. We reported in September 2012 that the department had reported architecture outcomes; however, the metrics had yet to be periodically measured and reported. In May 2013, the department submitted its draft Enterprise Roadmap to the Office of Management and Budget, which included outcomes associated with the department's enterprise architecture efforts that were different from previously reported metrics. Therefore, the department has yet to demonstrate that the outcomes are periodically reported."
020,GAO-12-791,Environmental Protection Agency,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Environmental Protection Agency has taken steps to address our recommendation. Specifically, in May 2013, it submitted its Enterprise Roadmap to the Office of Management and Budget, which included a metric to measure the number of new shared services it implements every 2 years through use of its enterprise architecture. In addition, in September 2013, the agency developed an Enterprise Architecture Performance Measurement Methodology, which includes identifying metrics, establishing baselines, and planning targets. However, the agency has yet to establish the steps to be followed for measuring architecture metrics."
020,GAO-12-791,Environmental Protection Agency,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Environmental Protection Agency has yet to implement this recommendation. Agency officials submitted the agency's Enterprise Roadmap, including an Enterprise Architecture Outcomes and Measurement template, to the Office of Management and Budget in May 2013. The roadmap established the baseline number of shared services and a target number of new shared services to be implemented in fiscal years 2013 and 2014 through use of its enterprise architecture. The agency also reported that it plans to use the template for future performance management. "
015,GAO-14-34,Department of the Treasury: Internal Revenue Service,311098,"To improve their response to data breaches involving PII, the Commissioner of the Internal Revenue Service should update procedures to include the number of individuals affected as a factor that should be considered in assessing the likely risk of harm.", 
023,GAO-12-791,General Services Administration,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The General Services Administration has yet to fully implement our recommendation. We reported in September 2012 that the agency had established metrics but not a method for measuring enterprise architecture outcomes and benefits. Since then, in May 2013, it submitted its draft Enterprise Roadmap, which included metrics to measure architecture outcomes such as costs savings and avoidance, to the Office of Management and Budget. However, the draft roadmap did not include the steps to be followed to measure the metrics. The agency stated that it expects to use its architecture-related metrics to measure its progress throughout fiscal year 2014 and plans to have results available at the end of fiscal year 2014."
023,GAO-12-791,General Services Administration,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The General Services Administration has yet to implement our recommendation. The agency submitted its draft Enterprise Roadmap, which included outcome metrics, to the Office of Management and Budget in May, 2013. However, the draft roadmap did not include measurements of these metrics and the agency has yet to demonstrate that outcomes and benefits are periodically reported. The agency stated that it expects to use its architecture-related metrics to measure its progress throughout fiscal year 2014 and plans to have results available at the end of fiscal year 2014."
026,GAO-12-791,National Aeronautics and Space Administration,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The National Aeronautics and Space Administration has begun to take steps to implement this recommendation. For example, the agency has drafted a Procedural Requirement that calls for measuring enterprise architecture effectiveness. However, as of June 2013, the document had not been approved. In addition, the agency's draft Enterprise Roadmap, which it submitted to the Office of Management and Budget in May 2013, stated that the agency is reviewing performance measures and intends to provide details in future documents. "
026,GAO-12-791,National Aeronautics and Space Administration,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The National Aeronautics and Space Administration has not yet implemented this recommendation. The agency has yet to establish metrics and a method for measuring architecture outcomes. According to its draft Enterprise Roadmap and draft enterprise architecture procedural requirement, the agency plans to track results and review the outcomes with the agency Chief Information Officer at least annually to ensure results and feedback will be used to improve both the enterprise architecture program and investment performance. "
422,GAO-12-791,National Science Foundation,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The National Science Foundation has yet to establish an approach for measuring enterprise architecture outcomes. In May 2013, the agency submitted its draft Enterprise Roadmap to the Office of Management and Budget, which included metrics associated with its enterprise architecture efforts, such as the number of investments that have been reviewed by the architecture team. However, the draft metrics do not measure enterprise architecture outcomes, such as cost savings or avoidance. "
422,GAO-12-791,National Science Foundation,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.",The National Science Foundation has yet to implement the recommendation. The agency has yet to establish metrics to measure outcomes.
429,GAO-12-791,Nuclear Regulatory Commission,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Nuclear Regulatory Commission has yet to fully implement our recommendation. In September 2012, we reported that the agency had established a metric for measuring enterprise architecture outcomes, but had yet to establish a method. In June 2013, the agency reported that it had begun to assess how it measures and reports architecture outcomes. It further reported that its updated Enterprise Roadmap would include a plan to expand performance measures that include Office of Management and Budget-defined enterprise architecture outcomes and measurements. An updated Enterprise Roadmap is to be submitted to the Office of Management and Budget no later than 2 weeks after the President's fiscal year 2015 budget is transmitted to Congress. "
429,GAO-12-791,Nuclear Regulatory Commission,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Nuclear Regulatory Commission has yet to implement this recommendation. In June 2013, the agency reported that it was in the process of developing an enterprise architecture performance evaluation process, and that it planned to update its May 2013 draft Enterprise Roadmap to include a plan to expand performance measures that include Office of Management and Budget-defined enterprise architecture outcomes and measurements."
027,GAO-12-791,Office of Personnel Management,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Office of Personnel Management (OPM) has yet to fully implement this recommendation. In September 2012, we reported that OPM had established a metric to measure enterprise architecture results and outcomes, but it had not established the steps needed to determine the results and outcomes. In May 2013, it submitted its Enterprise Roadmap to the Office of Management and Budget. The roadmap included an outcomes and measurement template, which documented metrics to measure architecture-related outcomes, such as how the enterprise architecture program contributes to cost savings through system consolidation and consolidating and sharing services. However, the agency has yet to establish a documented method (i.e., steps to be followed) to measure results. As of August 2013, agency officials were in the process of drafting steps to be followed."
027,GAO-12-791,Office of Personnel Management,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Office of Personnel Management has yet to implement this recommendation. We reported in September 2012 that agency officials reported that cost savings had been reported to the Chief Information Officer, but that officials had not provided documentation to support that the cost savings had been reliably measured. According to the agency's Office of Internal Oversight and Compliance, the agency plans to report, through the agency director, on architecture outcomes in its Enterprise Roadmap submission to the Office of Management and Budget in February 2014."
028,GAO-12-791,Small Business Administration,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should fully establish an approach for measuring enterprise architecture outcomes, including a documented method (i.e., steps to be followed) and metrics that are measurable, meaningful, repeatable, consistent, actionable, and aligned with the agency's enterprise architecture's strategic goals and intended purpose.","The Small Business Administration has begun to take steps to address our recommendation. In May 2013, the agency submitted its Enterprise Roadmap to the Office of Management and Budget. The roadmap included metrics to measure outcomes associated with the agency's enterprise architecture, such as cost savings through consolidating and sharing services. However, the agency has not yet described the steps to be followed for measuring enterprise architecture outcomes. "
028,GAO-12-791,Small Business Administration,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Small Business Administration has yet to implement this recommendation. In May 2013, the agency submitted its Enterprise Roadmap to the Office of Management and Budget, which included metrics to measure how the enterprise architecture program contributes to cost savings through consolidating and sharing services. However, the department had yet to measure outcomes. "
016,GAO-12-791,Social Security Administration,310964,"To enhance federal agencies' ability to realize enterprise architecture benefits, the Secretaries of the Departments of Agriculture, the Air Force, the Army, Commerce, Defense, Education, Energy, Homeland Security, the Interior, Labor, the Navy, State, Transportation, the Treasury, and Veterans Affairs; the Attorney General; the Administrators of the Environmental Protection Agency, General Services Administration, National Aeronautics and Space Administration, and Small Business Administration; the Commissioners of the Nuclear Regulatory Commission and Social Security Administration; and the Directors of the National Science Foundation and the Office of Personnel Management should periodically measure and report enterprise architecture outcomes and benefits to top agency officials (i.e., executives with authority to commit resources or make changes to the program) and to OMB.","The Social Security Administration has taken steps to implement this recommendation. Specifically, in November 2012, the agency issued a report on fiscal year 2012 architecture outcomes and benefits and in November 2013 on fiscal year 2013 architecture outcomes and benefits, to its Chief Information Officer. The outcomes were associated with consolidating hardware requirements and bundling purchases. In addition, in May 2013, the agency submitted its draft Enterprise Roadmap to the Office of Management and Budget, which included examples of outcomes associated with its architecture efforts. However, the department has yet to finalize its roadmap and to periodically report its architecture outcomes and benefits to the Office of Management and Budget using established methods. The agency plans to finalize its Enterprise Roadmap in February 2014."
006,GAO-12-8,Department of Commerce,311062,"To improve individual agency cybersecurity workforce planning efforts, the Secretary of Commerce should direct the department's Chief Information Officer, in consultation with its Chief Human Capital Officer, to develop and implement a departmentwide cybersecurity workforce plan or ensure that departmental components are conducting appropriate workforce planning activities.","Commerce will implement the 2013 Federal Cybersecurity Initiative, using the common taxonomy and lexicon in OPM's guidance and the National Cybersecurity Workforce Framework to define cybersecurity work and workers. Commerce has begun workforce planning, including a schedule that meets OPM's Project on Cybersecurity guidance for federal agencies to identify and code 90 percent of 2210 series positions by September 30, 2014. Other cybersecurity series are being coded as well and will be part of a statistical data set for OPM's Enterprise Human Resources Integration (EHRI) system. "
009,GAO-12-8,Department of Health and Human Services,311062,"To improve individual agency cybersecurity workforce planning efforts, the Secretary of Health and Human Services should direct the department's Chief Information Officer, in consultation with its Chief Human Capital Officer, to develop and implement a departmentwide cybersecurity workforce plan or ensure that departmental components are conducting appropriate workforce planning activities.",Action pending.
024,GAO-12-8,Department of Homeland Security,311062,"To ensure that governmentwide cybersecurity workforce initiatives are better coordinated and planned, and to better assist federal agencies in defining roles, responsibilities, skills, and competencies for their workforce, the Secretary of Commerce, Director of the Office of Management and Budget, Director of the Office of Personnel Management, and Secretary of Homeland Security should collaborate through the NICE initiative to develop and finalize detailed plans allowing agency accountability, measurement of progress, and determination of resources to accomplish agreed-upon activities.","The Department of Homeland Security (DHS) has produced metrics for measuring agencies' progress in meeting objectives of the National Initiative for Cybersecurity Education (NICE). However, DHS and other NICE member agencies have not yet provided the detailed plans called for in this recommendation. "
